host,name
nis1-htz1,htz-serv-node1-pc.gpserver.dk
nis1-htz2,htz-serv-node2-pc.gpserver.dk
nis1-htz3,htz-serv-node3-pc.gpserver.dk
nis1-htz4,htz-serv-node4-pc.gpserver.dk
nis1-htz5,htz-serv-node5-pc.gpserver.dk
nis1-htz6,htz-serv-node6-pc.gpserver.dk
nis1-htz7,htz-serv-node7-pc.gpserver.dk
nis1-htz8,htz-serv-node8-pc.gpserver.dk
nis1-htz9,htz-serv-node9-pc.gpserver.dk
nis1-htz10,htz-serv-node10-pc.gpserver.dk
nis1-htz11,htz-serv-node11-pc.gpserver.dk
nis1-htz12,htz-serv-node12-pc.gpserver.dk
nis1-htz13,htz-serv-node13-pc.gpserver.dk
nis1-htz14,htz-serv-node14-pc.gpserver.dk
